Fastighetsbeteckning,Adress,Kommunnamn
Albygård 3,Ankdammsgatan 5B,Solna
Visan 3,Virebergsvägen 24,Solna
Krönet 3,Bergstigen 12,Solna
Dikten 1,Virebergsvägen 11,Solna
Vireberg 2,Virebergsvägen 26,Solna
Lövdalen 1,Backvägen 9,Solna
Nyboda 10,Nybodagatan 4,Solna
Hästen 1,Rättarvägen 2,Solna
Körsbärsträdet 5,Erik Sandbergs Gata 23,Solna
Balladen 5,Virebergsvägen 13,Solna
Nyboda 10,Ankdammsgatan 30,Solna
Snickaren 3,Ankdammsgatan 38,Solna
Nyboda 10,Nybodagatan 2,Solna
Vireberg 1,Ekensbergsvägen 93,Solna
Krönet 3,Bergstigen 14,Solna
Balladen 4,Virebergsvägen 15,Solna
Plåtslagaren 2,Nybodagatan 1,Solna
Byggmästaren 4,Ankdammsgatan 33,Solna
Blåhäggen 5,Filmgatan 19,Solna
Balladen 3,Virebergsvägen 17,Solna
Byggmästaren 2,Ankdammsgatan 35,Solna
Nordan 23,Hagalundsgatan 25,Solna
Nordan 23,Hagalundsgatan 29,Solna
Sunnan 17,Hagalundsgatan 26,Solna
Sunnan 17,Hagalundsgatan 26,Solna
Hästen 1,Förvaltarvägen 23-25,Solna
Elektrikern 1,Ankdammsgatan 36,Solna
Ponnyn 2,Förvaltarvägen 10,Solna
Hästen 1,Förvaltarvägen 17-21,Solna
Balladen 2,Virebergsvägen 19,Solna
Målaren 2,Ankdammsgatan 21,Solna
Balladen 1,Ekensbergsvägen 97B,Solna
Arkitekten 6,Framnäsbacken 10-12,Solna
Blåhäggen 4,Filmgatan 27,Solna
Bangården 4,Bangatan 23,Solna
Ponnyn 2,Förvaltarvägen 8,Solna
Puman 6,Bangatan 17,Solna
Hälla 15,Lundavägen 18-20,Solna
Sunnan 18,Hagalundsgatan 36,Solna
Arkitekten 2,Framnäsbacken 14,Solna
Puman 1,Bangatan 21,Solna
Arkitekten 7,Framnäsbacken 4-8,Solna
Målaren 2,Ankdammsgatan 23,Solna
Nordan 25,Hagalundsgatan 35-37,Solna
Hälla 17,Lundagatan 14,Solna
Målaren 2,Ankdammsgatan 19,Solna
Sunnan 18,Hagalundsgatan 32,Solna
Björnen 9,Lundagatan 13,Solna
Fölet 1,Förvaltarvägen 6,Solna
Blåhäggen 4,Filmgatan 33,Solna
Nordan 25,Hagalundsgatan 39,Solna
Ridskolan 1,Förvaltarvägen 9-11,Solna
Hälla 18,Lundagatan 10 B,Solna
Rudtorp 6,Framnäsbacken 3,Solna
Rudtorp 4,Framnäsbacken 7,Solna
Rudtorp 5,Framnäsbacken 5,Solna
Hälla 18,Lundagatan 8 A,Solna
Björnen 10,Lundagatan 11,Solna
Ripan 1,Erik Sandbergs Gata 24,Solna
Ripan 1,Erik Sandbergs Gata 44,Solna
Ripan 1,Erik Sandbergs Gatan 50,Solna
Ripan 1,Erik Sandbergs Gata 30,Solna
Ridskolan 1,Förvaltarvägen 3,Solna
Arkitekten 5,Framnäsbacken 18-20,Solna
Fölet 1,Förvaltarvägen 4,Solna
Björnen 10,Lundagatan 9,Solna
Ripan 1,Erik Sandbergs Gata 34,Solna
Ripan 1,Erik Sandbergs Gata 40,Solna
Hälla 19,Lundagatan 6a-b,Solna
Hängbjörken 1,Råsundavägen 159,Solna
Berget 8,Storgatan 15,Solna
Berget 5,Huvudstagatan 7-9,Solna
Spettet 3,Storgatan 29,Solna
Råsunda 3:1,Råsundavägen 150C,Solna
Råsunda 3:1,Råsundavägen 150C,Solna
Råsunda 3:1,Råsundavägen 150C,Solna
Råsunda 3:1,Råsundavägen 150C,Solna
Lejonet 5,Storgatan 11,Solna
Berget 7,Storgatan 17,Solna
Björnen 13,Lundagatan 7,Solna
Rådslaget 5,Huvudstagatan 6,Solna
Hängbjörken 1,Råsundavägen 165,Solna
Ingenjören 4,Framnäsbacken 22,Solna
Filmstaden 14,Råsundavägen 152,Solna
Lejonet 5,Storgatan 13,Solna
Fölet 1,Förvaltarvägen 2,Solna
Berget 5,Huvudstagatan 11,Solna
Sunnan 20,Hagalundsgatan 42,Solna
Björnen 13,Lundagatan 5,Solna
Spettet 2,Polhemsgatan 12,Solna
Hälla 13,Lundagatan 4,Solna
Filmstaden 8,Råsundavägen 154,Solna
Nordan 26,Broddgatan 1-3,Solna
Ingenjören 3,Framnäsbacken 28,Solna
Filmstaden 10,Råsundavägen 156,Solna
Björnen 8,Lundagatan 3 A,Solna
Filmstaden 11,Råsundavägen 158,Solna
Ingenting 7,Ingentingsgatan 3,Solna
Borren 1,Polhemsgatan 11,Solna
Klinten 3,Råsundavägen 160,Solna
Rasten 2,Kapellgatan 19,Solna
Rasten 3,Ingentingsgatan 6,Solna
Gelbgjutaren 13,Gelbgjutarevägen 9,Solna
Pantern 1,Ängkärrsgatan 3,Solna
Klinten 3,Råsundavägen 162,Solna
Ingenting 12,Ingentingsgatan 5,Solna
Ugnen 4,Industrivägen 5,Solna
Gelbgjutaren 14,Åldermansvägen 17-19,Solna
Borren 2,Lidgatan 18,Solna
Klinten 4,Lövgatan 68,Solna
Rasten 7,Kapellgatan 20,Solna
Leoparden 2,Ängkärrsgatan 6,Solna
Gelbgjutaren 4,Gelbgjutarevägen 5,Solna
Gelbgjutaren 3,Industrivägen 10,Solna
Leoparden 1,Huvudstagatan 19,Solna
Stenbrottet 1,Karolinagatan 1,Solna
Anhalten 3,Slottsvägen 14,Solna
Gelbgjutaren 17,Industrivägen 12-14,Solna
Knallhatten 1,Lövgatan 70,Solna
Huvudsta 3:1,Göran Persson Väg 45,Solna
Kassaskåpet 16,Industrivägen 19,Solna
Dynamiten 1,Tvärvägen 2-4,Solna
Mjölner 2,Industrivägen 15,Solna
Leoparden 3,Ängkärrsgatan 10,Solna
Stenbrottet 5,Huvudstagatan 20,Solna
Hagalund 2:10,Frösundaleden 4,Solna
Leoparden 6,Huvudstagatan 23,Solna
Sprängaren 4,Mariagatan 2,Sundbyberg
Kassaskåpet 15,Banvaktsvägen 20,Solna
Flundran 4,Råsundavägen 17-19,Solna
Fåran 6,Slottsvägen 9,Solna
Stenbrottet 6,Huvudstagatan 22,Solna
Göken 2,Skogsbacken 14,Sundbyberg
Göken 2,Skogsbacken 10,Sundbyberg
Göken 2,Skogsbacken 12,Sundbyberg
Fåran 6,Slottsvägen 5,Solna
Leoparden 4,Ängkärrsgatan 16,Solna
Sparven 11,Friluftsvägen 3,Sundbyberg
Göken 2,Skogsbacken 18,Sundbyberg
Göken 2,Skogsbacken 16,Sundbyberg
Fåran 6,Hagavägen 18,Solna
Fåran 6,Carl Thunbergs Väg 7,Solna
Kassaskåpet 4,Banvaktsvägen 24,Solna
Leoparden 4,Ängkärrsgatan 20,Solna
Stenbrottet 4,Tallgatan 12,Sundbyberg
Stenbrottet 1,Tallgatan 14,Sundbyberg
Flundran 4,Råsundavägen 15,Solna
Salladen 1,Göran Persons Väg 27-29,Solna
Salladen 1,Göran Persons Väg 19,Solna
Salladen 1,Göran Persons Väg 23,Solna
Banvakten 1,Industrivägen 20,Solna
Sparven 16,Skogsbacken 4,Sundbyberg
Renen 2,Skogsbacken 24,Sundbyberg
Renen 2,Skogsbacken 22,Sundbyberg
Jägaren 6,Tallgatan 15,Sundbyberg
Leoparden 5,Huvudstagatan 29,Solna
Leoparden 5,Huvudstagatan 27,Solna
Renen 2,Ateljevägen 3,Sundbyberg
Vargen 2,Skogsbacken 27,Sundbyberg
Ekorren 2,Ateljevägen 4,Sundbyberg
Flundran 4,Råsundavägen 13,Solna
Snöskatan 1,Bredkilsbacken 1,Solna
Vargen 2,Skogsbacken 33,Sundbyberg
Snöskatan 1,Bredkilsbacken 1,Solna
Salladen 1,Göran Persons Väg 3,Solna
Renen 2,Skogsbacken 28-30,Sundbyberg
Vargen 2,Skogsbacken 13,Sundbyberg
